# Every commit on feat/ui-polish, and the recording that shows it.
#
# hash  kind  hold-ceiling-seconds  payload  subject
#
# kind=test    the commit's own test files, run twice: once against its first
#              parent's source, once against its own. The before arm is the
#              mutation gate as a movie -- the test exists in both trees, only
#              the source under it differs.
# kind=driver  a renderer the commit added or changed, run against both trees.
# kind=diff    the change itself, paged in the terminal. Used where the commit
#              ships no code the terminal can execute: captures, a page rebuild,
#              a changelog ordering, the recorder's own plumbing, a merge.
766ee5a26	test	130	./packages/coding-agent/test/descriptor-placement-model-switch.test.ts ./packages/coding-agent/test/model-registry.test.ts	fix(coding-agent): duplicate of main's compaction-tier and bundle-decoupling fixes
8981629d1	diff	45		Merge branch 'main' into feat/ui-polish
b6a6bd07b	test	130	./packages/coding-agent/test/modes/components/every-settings-submenu-answers-the-pointer.test.ts	feat(coding-agent): route pointer events into settings submenus and modal bodies
d0226c921	test	130	./packages/coding-agent/test/modes/components/selector-overlays-answer-the-pointer.test.ts	feat(coding-agent): answer the pointer at the row level in the six selector overlays
aa2d62dc7	test	130	./packages/coding-agent/test/modes/components/assistant-prose-carries-the-text-color.test.ts	fix(coding-agent): theme assistant answer prose instead of terminal default
b852f2543	test	130	./packages/coding-agent/test/modes/components/a-cut-short-batch-ledger-renders-as-one-marker-line.test.ts	fix(coding-agent): collapse the turn-level batch ledger to a one-line marker
08ade60cb	test	130	./packages/coding-agent/test/modes/components/selector-overlays-answer-the-pointer.test.ts	feat(coding-agent): forward pointer events into the model picker's browser
c18816b62	test	130	./packages/coding-agent/test/modes/components/selector-overlays-answer-the-pointer.test.ts	feat(coding-agent): answer the pointer on ask-dialog option rows
0c36cf201	test	130	./packages/coding-agent/test/modes/components/selector-overlays-answer-the-pointer.test.ts	chore(coding-agent): delete the dead marketplace plugin selector
b373c7c55	test	130	./packages/coding-agent/test/modes/components/a-clicked-composer-chip-runs-its-action.test.ts	feat(coding-agent): make the composer chips answer clicks
d4d2a4290	test	170	./packages/coding-agent/test/modes/components/the-login-card-answers-the-pointer.test.ts ./packages/coding-agent/test/modes/components/the-login-screen-is-one-frame.test.ts ./packages/coding-agent/test/modes/controllers/a-command-login-lands-in-the-account-manager.test.ts ./packages/coding-agent/test/modes/controllers/selector-controller-login.test.ts	feat(coding-agent): move the login screen onto ModalShell
ab7f1b8be	test	130	./packages/coding-agent/test/modes/components/the-transcript-card-answers-the-pointer.test.ts	feat(coding-agent): move the transcript drill-in onto ModalShell
4d566d927	test	170	./packages/agent/test/a-chatgpt-oauth-session-compacts-on-the-codex-backend.test.ts ./packages/agent/test/compaction-remote.test.ts ./packages/catalog/test/server-compaction-capability.test.ts	fix(ai): compact a ChatGPT OAuth session on the codex backend
5afa7ff34	test	130	./packages/coding-agent/test/modes/components/the-transcript-card-answers-the-pointer.test.ts	test(coding-agent): copy the transcript rows the harness hands back
4ed3a44b4	test	170	./packages/coding-agent/test/keybindings-selector-navigation.test.ts ./packages/coding-agent/test/modes/components/the-session-tree-card-answers-the-pointer.test.ts ./packages/coding-agent/test/modes/components/tree-selector-chain-gutter-2298.test.ts ./packages/coding-agent/test/modes/components/tree-selector-developer.test.ts	polish(tree): open the session tree as a ModalShell card that answers the pointer
1f2ea74b3	test	130	./packages/coding-agent/test/modes/components/the-mcp-add-wizard-card-answers-the-pointer.test.ts	polish(mcp): open the add-server wizard as a ModalShell card that answers the pointer
c511ae76b	test	170	./packages/coding-agent/test/modes/components/a-virtualized-transcript-never-loses-history-to-a-rebuild.test.ts ./packages/tui/test/component-render.test.ts ./packages/tui/test/scroll-isolation-history.test.ts	fix(tui): keep the transcript when a virtualized root compacts
3f583d196	test	170	./packages/coding-agent/test/hook-editor.test.ts ./packages/coding-agent/test/hook-selector-overflow.test.ts ./packages/coding-agent/test/modes/components/session-selector-mouse.test.ts ./packages/coding-agent/test/modes/components/the-hook-selector-answers-the-pointer.test.ts	polish(hooks): open the hook selector as a ModalShell card that answers the pointer
929469b5f	test	130	./packages/coding-agent/test/hook-editor.test.ts ./packages/coding-agent/test/modes/components/the-hook-dialogs-answer-the-pointer.test.ts	polish(hooks): open the hook input and editor as ModalShell cards
36df196c3	test	130	./packages/coding-agent/test/modes/components/plugin-settings-view-transitions.test.ts ./packages/coding-agent/test/modes/components/the-plugins-tab-answers-the-pointer.test.ts	polish(plugins): answer the pointer in the settings plugins tab and name its keys as chips
489fd453f	test	130	./packages/tui/test/a-click-on-a-suggestion-accepts-the-completion.test.ts	feat(tui): accept a composer suggestion on click
7e1aa54cb	test	130	./packages/coding-agent/test/modes/components/a-transcript-block-sits-on-the-rail.test.ts	polish(transcript): put the /btw and /omfg blocks on the rail
b02f7dc2d	test	130	./packages/coding-agent/test/modes/components/a-transcript-block-sits-on-the-rail.test.ts	polish(transcript): print command blocks on the rail
f9160c99c	test	130	./packages/coding-agent/test/modes/components/a-transcript-block-sits-on-the-rail.test.ts ./packages/coding-agent/test/modes/components/hook-editor-title-width.test.ts	polish(ui): delete the full-width rule
9be29f814	test	130	./packages/coding-agent/test/modes/components/every-settings-submenu-answers-the-pointer.test.ts	test(settings): drive the effort step's click hint
